,row_Miro_data
definition,-0.0005907372400756144
control,-0.0005907372400756144
portion,-0.0005907372400756144
pros,-0.0005907372400756144
spending,-0.0005907372400756144
recycling,-0.0006990318689216685
research,-0.0007055745095912424
donating,-0.0007088846880907373
money,-0.0007088846880907373
current,-0.0007088846880907373
lake,-0.0008270321361058601
examples,-0.0008270321361058601
reduction,-0.0010190949753299022
economic,-0.0011814744801512287
importance,-0.0012433281752198015
benefits,-0.0013204140259268696
savings,-0.0014177693761814746
college,-0.0014192622747579982
impact,-0.0016808031295902708
cost,-0.001772211720226843
