document,element,observed,expected,gap_val,jsd,jsd_bits,LvS
2009,Drug_use_disorders,0.001743965,0.001798128,-5.42E-05,2.0706633500102624e-07,2.9873357464103334e-07,-2.07E-07
2010,Drug_use_disorders,0.00174681,0.001798128,-5.13E-05,1.8573379058381465e-07,2.6795721860077865e-07,-1.86E-07
2009,Poisonings,0.00176154,0.001780571,-1.90E-05,2.556412199784292e-08,3.6881232030968443e-08,-2.56E-08
1996,Drug_use_disorders,0.001763872,0.001798128,-3.43E-05,8.2363543398525447e-08,1.1882547561109558e-07,-8.24E-08
1997,Drug_use_disorders,0.001769184,0.001798128,-2.89E-05,5.8712640831325643e-08,8.4704435764848376e-08,-5.87E-08
2008,Poisonings,0.001769644,0.001780571,-1.09E-05,8.4088216599791859e-09,1.2131365308571673e-08,-8.41E-09
2011,Drug_use_disorders,0.001771794,0.001798128,-2.63E-05,4.8564117064552392e-08,7.0063210854180824e-08,-4.86E-08
2007,Poisonings,0.001787546,0.001780571,6.9752747248867132e-06,3.408974443506649e-09,4.9181105241642563e-09,3.408974443506649e-09
2005,Exposure_to_forces_of_nature,0.001788961,0.001022777,0.000766184,5.2861256580573351e-05,7.6262672723952264e-05,5.2861256580573351e-05
2012,Drug_use_disorders,0.001797198,0.001798128,-9.30E-07,6.0165432625867816e-11,8.6800371282278539e-11,-6.02E-11
2001,Drug_use_disorders,0.001804769,0.001798128,6.6409214584362778e-06,3.0601666028119037e-09,4.4148871821707594e-09,3.0601666028119037e-09
1998,Drug_use_disorders,0.00180782,0.001798128,9.69153561282128e-06,6.5118784540473062e-09,9.3946547525257388e-09,6.5118784540473062e-09
2014,Acute_hepatitis,0.00181096,0.002617653,-0.000806692,3.6941565092266164e-05,5.3295412761289236e-05,-3.69E-05
2006,Poisonings,0.001818106,0.001780571,3.7534409524297811e-05,9.7873294811218965e-08,1.4120131705960913e-07,9.7873294811218965e-08
1999,Poisonings,0.001832721,0.001780571,5.2150070323767148e-05,1.881749298179748e-07,2.71479038068021e-07,1.881749298179748e-07
1999,Drug_use_disorders,0.001832784,0.001798128,3.4656108073567986e-05,8.2697125030154075e-08,1.1930673217677785e-07,8.2697125030154075e-08
2002,Poisonings,0.001838966,0.001780571,5.83952372490129e-05,2.3553779352533311e-07,3.3980920666092668e-07,2.3553779352533311e-07
1998,Poisonings,0.001841644,0.001780571,6.1073232647210554e-05,2.5744715562103897e-07,3.7141773470544214e-07,2.5744715562103897e-07
2003,Poisonings,0.001845006,0.001780571,6.4435058555375015e-05,2.8630579269558849e-07,4.1305194729970914e-07,2.8630579269558849e-07
2001,Poisonings,0.001845463,0.001780571,6.489168811434228e-05,2.903417226357727e-07,4.1887456340978821e-07,2.903417226357727e-07
2000,Poisonings,0.001848042,0.001780571,6.7470695526796126e-05,3.136568251002519e-07,4.5251114611311039e-07,3.136568251002519e-07
2004,Poisonings,0.001853936,0.001780571,7.3365184698383256e-05,3.7025757397738011e-07,5.3416876582874486e-07,3.7025757397738011e-07
2005,Poisonings,0.001856432,0.001780571,7.5860640007450542e-05,3.9560414987877782e-07,5.70736145185207e-07,3.9560414987877782e-07
2013,Drug_use_disorders,0.001856649,0.001798128,5.8520635378716494e-05,2.342695051638266e-07,3.3797945333136404e-07,2.342695051638266e-07
2000,Drug_use_disorders,0.001866585,0.001798128,6.845683881045745e-05,3.1971202154813108e-07,4.6124694800007414e-07,3.1971202154813108e-07
1997,Poisonings,0.001872007,0.001780571,9.1435705597902543e-05,5.7229177104658376e-07,8.2564250003046851e-07,5.7229177104658376e-07
1996,Conflict_and_terrorism,0.0018852,0.002259519,-0.00037432,8.46295292711958e-06,1.2209460219232153e-05,-8.46E-06
1996,Poisonings,0.001918381,0.001780571,0.00013781,1.2838746027211728e-06,1.8522395224691241e-06,1.2838746027211728e-06
1991,Conflict_and_terrorism,0.001929585,0.002259519,-0.000329934,6.5031321695697514e-06,9.3820365312837668e-06,-6.50E-06
2018,Conflict_and_terrorism,0.001931208,0.002259519,-0.000328311,6.4367549758150504e-06,9.2862744830257339e-06,-6.44E-06
2014,Drug_use_disorders,0.001936769,0.001798128,0.000138641,1.2868967306263869e-06,1.8565995314109086e-06,1.2868967306263869e-06
2013,Acute_hepatitis,0.001941783,0.002617653,-0.00067587,2.5139520363658444e-05,3.6268661358977151e-05,-2.51E-05
1995,Poisonings,0.001956666,0.001780571,0.000176095,2.0751189463082638e-06,2.9937638130936636e-06,2.0751189463082638e-06
1992,Poisonings,0.00198913,0.001780571,0.000208559,2.8861092629265322e-06,4.16377552108781e-06,2.8861092629265322e-06
1993,Poisonings,0.001992577,0.001780571,0.000212006,2.9796083550267884e-06,4.2986661975884695e-06,2.9796083550267884e-06
1991,Poisonings,0.001993044,0.001780571,0.000212473,2.99240671284457e-06,4.3171303249437057e-06,2.99240671284457e-06
1990,Poisonings,0.002021002,0.001780571,0.000240431,3.804048357799596e-06,5.4880817010992829e-06,3.804048357799596e-06
2015,Drug_use_disorders,0.002032556,0.001798128,0.000234427,3.5888221273576603e-06,5.1775758857714766e-06,3.5888221273576603e-06
2019,Fire__heat__and_hot_substances,0.00204546,0.002468261,-0.000422802,9.9155347057990767e-06,1.4305092747818736e-05,-9.92E-06
2018,Fire__heat__and_hot_substances,0.002066327,0.002468261,-0.000401934,8.9183002771468957e-06,1.2866387582998495e-05,-8.92E-06
2012,Acute_hepatitis,0.002067072,0.002617653,-0.000550581,1.6214434269029419e-05,2.3392483910748809e-05,-1.62E-05
2017,Fire__heat__and_hot_substances,0.00206792,0.002468261,-0.000400341,8.8445517704950155e-06,1.2759990978178861e-05,-8.84E-06
2016,Fire__heat__and_hot_substances,0.002098689,0.002468261,-0.000369572,7.4849333923108553e-06,1.0798476286471077e-05,-7.48E-06
2011,Acute_hepatitis,0.00211351,0.002617653,-0.000504143,1.3455646310790638e-05,1.9412394204533531e-05,-1.35E-05
2015,Fire__heat__and_hot_substances,0.002124463,0.002468261,-0.000343798,6.4399617990253756e-06,9.2909009509682769e-06,-6.44E-06
1997,Conflict_and_terrorism,0.002126804,0.002259519,-0.000132715,1.0040232119074794e-06,1.4484993087563295e-06,-1.00E-06
2014,Fire__heat__and_hot_substances,0.002147562,0.002468261,-0.0003207,5.5749127942090852e-06,8.042899041593881e-06,-5.57E-06
2016,Drug_use_disorders,0.002156678,0.001798128,0.00035855,8.1378684301128219e-06,1.1740462427530622e-05,8.1378684301128219e-06
2010,Acute_hepatitis,0.002172748,0.002617653,-0.000444904,1.0344927078971054e-05,1.4924574995189489e-05,-1.03E-05
2013,Fire__heat__and_hot_substances,0.002195456,0.002468261,-0.000272805,3.9917236685052976e-06,5.7588399411516932e-06,-3.99E-06
2012,Fire__heat__and_hot_substances,0.00221532,0.002468261,-0.000252941,3.4167487750401496e-06,4.9293265137138644e-06,-3.42E-06
2012,Conflict_and_terrorism,0.002219372,0.002259519,-4.01E-05,8.9968422541470891e-08,1.2979699703718289e-07,-9.00E-08
2017,Drug_use_disorders,0.00224142,0.001798128,0.000443291,1.2185996635845987e-05,1.75806769148246e-05,1.2185996635845987e-05
2011,Fire__heat__and_hot_substances,0.002254464,0.002468261,-0.000213797,2.420466382747926e-06,3.4919948470288807e-06,-2.42E-06
2009,Acute_hepatitis,0.002257345,0.002617653,-0.000360308,6.6636100401474939e-06,9.6135571593386962e-06,-6.66E-06
2010,Fire__heat__and_hot_substances,0.00228724,0.002468261,-0.000181021,1.7230891441938885e-06,2.4858921633381312e-06,-1.72E-06
2018,Drug_use_disorders,0.002298897,0.001798128,0.000500769,1.5340252103919391e-05,2.2131305636310994e-05,1.5340252103919391e-05
2013,Conflict_and_terrorism,0.002304348,0.002259519,4.4828629837103274e-05,1.100841935297477e-07,1.5881792008562792e-07,1.100841935297477e-07
1998,Conflict_and_terrorism,0.002312536,0.002259519,5.3016445691967187e-05,1.5369493387798189e-07,2.2173491891552161e-07,1.5369493387798189e-07
2009,Fire__heat__and_hot_substances,0.002328165,0.002468261,-0.000140096,1.023143447700997e-06,1.4760839781162649e-06,-1.02E-06
2008,Acute_hepatitis,0.002340043,0.002617653,-0.000277609,3.8882623461370162e-06,5.6095768044471595e-06,-3.89E-06
2019,Drug_use_disorders,0.002357468,0.001798128,0.00055934,1.8878911664404048e-05,2.7236512235616528e-05,1.8878911664404048e-05
2008,Fire__heat__and_hot_substances,0.002359917,0.002468261,-0.000108344,6.0786162310963142e-07,8.7695894920698138e-07,-6.08E-07
2007,Fire__heat__and_hot_substances,0.002416395,0.002468261,-5.19E-05,1.3768461537864169e-07,1.9863691181347067e-07,-1.38E-07
2007,Acute_hepatitis,0.002434821,0.002617653,-0.000182831,1.654369994738611e-06,2.3867513872048948e-06,-1.65E-06
2006,Fire__heat__and_hot_substances,0.002453539,0.002468261,-1.47E-05,1.1009496280082577e-08,1.5883345685960624e-08,-1.10E-08
2017,Conflict_and_terrorism,0.00247656,0.002259519,0.000217041,2.4874607729789811e-06,3.5886473215826039e-06,2.4874607729789811e-06
2000,Conflict_and_terrorism,0.002497611,0.002259519,0.000238092,2.9803397623151133e-06,4.2997213952562058e-06,2.9803397623151133e-06
2005,Fire__heat__and_hot_substances,0.002503755,0.002468261,3.5493702128228544e-05,6.3345201154930641e-08,9.1387807570332283e-08,6.3345201154930641e-08
2004,Fire__heat__and_hot_substances,0.0025066,0.002468261,3.8338368495673819e-05,7.3863618535116661e-08,1.0656267616272693e-07,7.3863618535116661e-08
2006,Acute_hepatitis,0.002523788,0.002617653,-9.39E-05,4.2843586995889676e-07,6.1810230492864918e-07,-4.28E-07
2003,Fire__heat__and_hot_substances,0.002559444,0.002468261,9.1182417315074839e-05,4.134435286523336e-07,5.9647292847435579e-07,4.134435286523336e-07
2002,Fire__heat__and_hot_substances,0.002567272,0.002468261,9.9010941147335482e-05,4.8673081944355476e-07,7.0220413945903787e-07,4.8673081944355476e-07
2005,Acute_hepatitis,0.002585039,0.002617653,-3.26E-05,5.1112076149071445e-08,7.3739138789804444e-08,-5.11E-08
2004,Acute_hepatitis,0.002593808,0.002617653,-2.38E-05,2.7274568593178661e-08,3.9348884851764725e-08,-2.73E-08
2001,Fire__heat__and_hot_substances,0.002612901,0.002468261,0.000144639,1.0294532203137632e-06,1.4851870557738397e-06,1.0294532203137632e-06
2000,Fire__heat__and_hot_substances,0.002635966,0.002468261,0.000167704,1.3777721322858201e-06,1.9877050227237658e-06,1.3777721322858201e-06
1999,Fire__heat__and_hot_substances,0.002642507,0.002468261,0.000174246,1.4854670987613728e-06,2.1430760167867484e-06,1.4854670987613728e-06
2003,Acute_hepatitis,0.002649583,0.002617653,3.1930599933207605e-05,4.839205416876582e-08,6.9814976567708546e-08,4.839205416876582e-08
1998,Fire__heat__and_hot_substances,0.002650443,0.002468261,0.000182182,1.6213690626408711e-06,2.3391411061227719e-06,1.6213690626408711e-06
1990,Conflict_and_terrorism,0.002672104,0.002259519,0.000412585,8.6394196858017056e-06,1.2464047936864608e-05,8.6394196858017056e-06
1990,Alcohol_use_disorders,0.002674494,0.003280917,-0.000606423,1.5464403141730366e-05,2.2310417722882104e-05,-1.55E-05
1997,Fire__heat__and_hot_substances,0.002705541,0.002468261,0.000237279,2.7214611605652164e-06,3.9262385203193608e-06,2.7214611605652164e-06
1996,Fire__heat__and_hot_substances,0.002737516,0.002468261,0.000269254,3.4831631357716493e-06,5.0251421825850095e-06,3.4831631357716493e-06
2002,Acute_hepatitis,0.002759697,0.002617653,0.000142045,9.3814828753367046e-07,1.3534618820432997e-06,9.3814828753367046e-07
1991,Alcohol_use_disorders,0.002779817,0.003280917,-0.0005011,1.0369530016228587e-05,1.4960069530762235e-05,-1.04E-05
1995,Fire__heat__and_hot_substances,0.002783268,0.002468261,0.000315006,4.7266452975654454e-06,6.8191077308388069e-06,4.7266452975654454e-06
1994,Fire__heat__and_hot_substances,0.002806489,0.002468261,0.000338228,5.4256799548534182e-06,7.8276015643176818e-06,5.4256799548534182e-06
1992,Fire__heat__and_hot_substances,0.002811459,0.002468261,0.000343197,5.581133385636913e-06,8.0518734579982051e-06,5.581133385636913e-06
1991,Fire__heat__and_hot_substances,0.002813022,0.002468261,0.000344761,5.6304762265885851e-06,8.1230601299425561e-06,5.6304762265885851e-06
1993,Fire__heat__and_hot_substances,0.002821533,0.002468261,0.000353272,5.9025916598083849e-06,8.5156397159981127e-06,5.9025916598083849e-06
1990,Fire__heat__and_hot_substances,0.00282921,0.002468261,0.000360948,6.1531470935416319e-06,8.8771147977128514e-06,6.1531470935416319e-06
2001,Acute_hepatitis,0.002896373,0.002617653,0.00027872,3.5236515340953789e-06,5.0835545940601912e-06,3.5236515340953789e-06
1992,Alcohol_use_disorders,0.002961484,0.003280917,-0.000319433,4.088256828084616e-06,5.8981078517581192e-06,-4.09E-06
1999,Conflict_and_terrorism,0.002976994,0.002259519,0.000717475,2.4653500160324096e-05,3.5567482421854838e-05,2.4653500160324096e-05
2000,Acute_hepatitis,0.002999439,0.002617653,0.000381786,6.4923874427371591e-06,9.3665351671666785e-06,6.4923874427371591e-06
2017,Alcohol_use_disorders,0.003080124,0.003280917,-0.000200793,1.5848269490455872e-06,2.2864219800552544e-06,-1.58E-06
1999,Acute_hepatitis,0.003085216,0.002617653,0.000467564,9.5943492337890942e-06,1.3841720060144352e-05,9.5943492337890942e-06
2016,Conflict_and_terrorism,0.003088363,0.002259519,0.000828844,3.2244511275277932e-05,4.6518996512731739e-05,3.2244511275277932e-05
2018,Alcohol_use_disorders,0.003090134,0.003280917,-0.000190783,1.4284733090458876e-06,2.0608513590027498e-06,-1.43E-06
2019,Alcohol_use_disorders,0.003090264,0.003280917,-0.000190653,1.4265067312761037e-06,2.05801418700676e-06,-1.43E-06
2016,Alcohol_use_disorders,0.003096197,0.003280917,-0.00018472,1.3378456866635648e-06,1.9301033376242151e-06,-1.34E-06
2015,Alcohol_use_disorders,0.003099194,0.003280917,-0.000181724,1.2941754171353172e-06,1.8671004563415278e-06,-1.29E-06
2014,Alcohol_use_disorders,0.003107003,0.003280917,-0.000173914,1.1838688827819454e-06,1.7079617662522703e-06,-1.18E-06
2013,Alcohol_use_disorders,0.003118853,0.003280917,-0.000162065,1.026119444019874e-06,1.4803774332472125e-06,-1.03E-06
2012,Alcohol_use_disorders,0.003149968,0.003280917,-0.000130949,6.666586881094578e-07,9.6178518330105688e-07,-6.67E-07
1998,Acute_hepatitis,0.003177723,0.002617653,0.000560071,1.3552578076864299e-05,1.955223718275261e-05,1.3552578076864299e-05
1993,Alcohol_use_disorders,0.003184657,0.003280917,-9.63E-05,3.5829570258049995e-07,5.1691143328471429e-07,-3.58E-07
2011,Alcohol_use_disorders,0.003200981,0.003280917,-7.99E-05,2.4645683464128356e-07,3.555620531301711e-07,-2.46E-07
2015,Conflict_and_terrorism,0.003221011,0.002259519,0.000961492,4.2389510614487884e-05,6.115513674923175e-05,4.2389510614487884e-05
