element,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10,Gene_11,Gene_12,Gene_13,Gene_14,Gene_15,Gene_16,Gene_17,Gene_18,Gene_19,Gene_20,Gene_21,Gene_22,Gene_23,Gene_24,Gene_25,Gene_26,Gene_27,Gene_28,Gene_29,Gene_30,Gene_31,Gene_32,Gene_33,Gene_34,Gene_35,Gene_36,Gene_37,Gene_38,Gene_39,Gene_40,Gene_41,Gene_42,Gene_43,Gene_44,Gene_45,Gene_46,Gene_47,Gene_48,Gene_49,Gene_50,CellType
a12,2.759773554,0.937072291,5.240374844,1.837579314,0.932980627,1.154457907,0.223857052,1.148280723,0.087299256,2.900877893,2.278477495,0.704047435,1.605827246,1.662020133,0.573902808,1.397368688,1.701617643,1.367494341,0.932163096,0.679166589,1.329469645,1.032680246,2.520537048,4.204571938,3.168024949,1.744840487,0.963216154,3.110060576,2.62850267,4.011517356,1.935003206,5.062393556,1.935447008,0.959207784,1.116770813,2.436863581,1.030316617,5.039627469,2.295800628,1.716211942,1.826478563,1.355986756,0.307314207,1.117462324,4.636356658,1.973549992,3.416872637,3.48309573,1.617445109,2.658617015,NK
a13,0.347506509,4.391948185,4.158652108,2.389271343,2.026353486,1.633893694,3.685355011,2.874615961,1.241179321,0.598795917,0.491714655,3.659336547,1.606823343,2.36149414,1.767823509,0.498432884,0.356577014,1.172815473,1.255862259,1.255215003,1.284966079,6.042322837,3.381959762,1.994339521,1.575928221,1.619073318,2.802703376,1.564618645,3.151599225,2.155192832,6.077815084,1.492874288,3.545724178,0.652359797,0.984117519,5.560010576,3.061154613,2.391983395,7.093220825,1.593382274,3.540053486,3.716780609,4.789814023,0.581559678,1.58522809,2.128144786,4.738536456,2.323417733,3.722160437,0.531097011,CD8 T
a14,1.311272639,4.148247593,1.453067794,1.686860141,4.688948623,0.794928566,0.970377257,0.475639609,4.812248641,3.339787116,3.282556116,1.281499664,0.439397518,0.317113317,4.168590916,2.505812495,2.850970624,2.056677289,0.870494077,1.329941858,0.688453823,0.609349018,3.155527296,0.3501878,0.692833626,1.393161347,1.806440761,0.469546205,2.302441516,1.972773158,4.12088387,1.8295901,2.471053047,0.914738924,0.94898733,0.521366524,0.922625044,1.314150575,3.852177833,0.804116882,6.253124725,2.626063479,2.259988302,1.723869261,1.483999961,1.045576086,0.449974903,0.829532881,4.804665534,2.514419151,CD4 T
a15,4.776687024,1.022857734,0.669887445,1.711056598,0.85715909,1.987068177,0.356894024,0.190398685,2.197712555,4.892683063,2.26825416,2.496366442,1.766727408,1.895010944,0.426707118,0.886020386,3.825948178,1.290647776,3.774519645,1.856398631,1.927098509,1.298602643,2.758156523,3.231978468,0.843954764,0.471097239,0.242405757,2.41225985,2.220333848,7.401304238,1.774555648,1.542232651,2.03625002,2.117428358,1.450844583,0.869004098,1.703313752,1.65492179,1.634565335,2.961001479,1.680067599,0.481964929,0.997128643,1.436752993,1.740876359,2.44828555,1.751296117,0.196005716,0.54195915,2.567337386,CD4 T
a16,1.406020089,1.866057133,1.268267361,0.993566791,1.305882066,1.882680231,1.670602155,3.217649217,0.390716192,0.451553764,1.393009847,2.467973596,2.851389011,1.027685925,0.060438827,1.056253132,2.225379103,1.646979764,2.531965358,3.73784544,1.470268777,1.157392536,0.765477449,0.448844346,0.330905428,0.943524175,3.401907186,2.703998072,1.112796033,6.291102951,1.000613384,3.975333738,4.604572676,2.333804883,0.935909211,1.238126441,1.916637561,0.462315196,0.700681899,0.647532686,2.459915078,3.713859044,2.777790746,3.311612311,0.868126316,1.283832322,1.363362278,2.327211363,0.966281476,3.17438116,NK
a17,4.521092259,2.412002878,1.23851704,0.801053271,0.648978497,0.198842361,1.397036459,1.334235584,3.042615856,1.021556267,1.460089442,2.058740302,2.38426013,2.806790563,1.911457607,0.490485314,2.237743534,0.959262371,3.830870019,1.694279257,1.997198722,7.786890427,2.840666621,2.208755914,1.494234634,0.533092842,1.411120379,0.792126958,4.885625073,2.229870971,3.737978124,0.996880531,0.844850008,2.651498571,0.763412441,1.163298634,5.038063732,1.202143854,0.42429059,0.270334372,0.371050193,3.88577074,1.050915034,7.631051586,4.555433299,5.829605098,3.369103692,2.554613165,0.817812191,1.662314055,CD4 T
a18,2.737039502,3.229174485,0.584544157,1.428946342,1.562188844,1.514380356,0.663278855,5.38903098,1.391042009,0.709539624,5.475571605,4.55829475,1.855246567,1.13450897,0.339260512,2.421536665,1.069206175,1.631396836,5.16128599,1.00383513,2.348056707,2.864196751,3.805406674,1.540683101,1.41731026,1.391047968,2.187341654,4.431841332,1.340578512,0.087234041,3.08829791,1.754655854,2.425412527,0.3538299,1.072713273,2.916718411,0.515188407,2.344255355,1.62107585,0.886815611,0.82421096,0.669138844,1.747569877,1.904986527,1.236320476,0.630345675,2.296178053,3.127197218,2.600584774,5.983856055,CD8 T
a19,1.441523225,4.146279024,0.964087597,0.833172657,1.830102324,4.767008448,1.317611661,0.353533671,3.086476036,1.568185291,2.08287109,0.8723152,1.817216559,0.414048391,5.443427812,3.48598174,1.755811507,3.027791921,0.96625311,3.381292204,1.270755349,1.197982653,0.712698024,2.275523369,1.698129786,4.235426034,0.636948423,2.283011865,3.717564593,1.930421521,1.251042704,1.893745706,4.011989146,4.010870498,1.518840361,3.964404123,1.637318098,3.004491424,2.476824422,1.210342312,0.736938124,3.783567803,4.503156111,2.244100561,1.635625009,0.560889535,3.718211124,2.059792631,1.354267822,3.063535909,CD4 T
a20,0.462945084,0.680081442,0.935883201,2.422046353,1.909421772,2.627715042,3.54896474,2.694469046,5.519327049,3.543371087,1.516035746,1.066685162,1.552499505,2.760583244,1.165302921,2.813983276,2.594013603,0.727219119,3.498526048,2.18722065,5.34424605,1.64172156,1.305103088,0.64288925,0.633277794,3.219157596,4.994062706,1.535427161,1.45808098,1.758749251,3.661630228,0.733240657,1.993728187,3.26925149,2.400884604,0.045918976,2.703907965,2.417568329,4.143393006,4.734824603,4.005770806,1.765960135,0.336026341,1.449754898,1.723593286,4.952421349,0.880153248,0.477358124,1.171603473,0.923046561,CD8 T
a21,0.430569083,1.561663546,1.775377442,0.404293003,1.298501407,0.872008905,1.819618691,1.957331269,0.872165729,3.477456592,1.69433156,0.909198457,0.376742156,2.035858084,2.413472021,1.117586355,1.863449106,4.734675368,3.113282704,0.146278874,0.899967263,1.502892573,1.76786378,1.894018006,2.30478974,1.542602318,1.691120053,3.224825391,2.065501546,0.583237213,1.810781752,1.506171824,0.226471482,1.881675596,0.660845307,3.257652483,2.281240491,0.551821366,3.157182439,4.188109283,1.364250579,1.499218267,2.947844405,3.981326461,0.309869139,0.617719285,1.190574765,1.299785978,2.889424144,3.995111555,CD4 T
a22,4.195793936,0.301143559,0.827754042,1.012837023,0.824734961,2.276257457,2.476069097,1.674971537,1.555173454,1.233167233,1.354390259,4.699613582,2.738058445,1.271785506,1.531942668,2.314058223,0.551643333,1.85810011,2.633542259,2.400473463,0.842483992,0.986774361,0.194820239,2.830673424,6.034206098,0.739207475,3.530321587,5.688724444,1.135234441,1.533595495,2.016173114,2.346303167,2.096828559,1.210456613,2.60478587,1.233590456,2.202441199,1.629173255,0.265668014,3.88426688,1.009878722,4.145240161,3.435571012,1.971797906,2.434015738,2.646110078,1.42466421,1.478902255,2.5563809,1.642630251,CD4 T
a23,1.213724562,0.854754423,2.249334349,0.981441051,3.046319794,3.22480216,2.420684394,2.78895293,2.425808893,2.92825394,2.842416407,2.162801662,3.465124972,1.464887336,0.878103499,0.838691662,1.299865559,0.222480495,1.957470779,2.670837106,3.193721218,0.333549316,0.863179955,2.983229666,1.42875215,2.628933388,0.524110808,4.112670184,0.483669522,1.915460572,1.952252561,1.109126665,2.360381881,2.408097617,2.226337211,1.092163002,0.92105235,1.192155787,0.814426756,3.573231312,1.278183341,1.875152256,2.974907942,0.779139336,0.463004859,0.816961974,2.029130652,1.929290661,2.223283435,1.536927981,CD4 T
a24,0.084627264,1.499253851,3.249466078,3.826032529,1.783763173,1.934598372,2.594713554,3.754044538,1.667348352,2.569538665,1.05216984,0.53526089,1.147332239,4.332923396,2.605890496,0.586379773,2.690748609,0.630535942,2.201367327,0.752297995,0.55443591,4.813970767,1.277400646,2.572952709,1.720053187,0.678764013,1.388622032,0.684338857,7.124457926,2.898644573,1.695838574,2.477472664,2.771313388,2.776397978,2.694980404,2.553390006,1.80165113,4.572895124,1.888549024,1.733229374,1.900614995,2.001863128,0.336497897,0.809569135,1.536887611,0.318058057,1.693776684,1.982593482,0.511728528,0.990863643,B
a25,3.929195423,2.49529198,2.396157785,3.614426364,0.823722563,0.513249994,3.293865638,1.5705246,0.804279021,0.333504634,1.916722972,1.433168708,1.246485476,0.131497049,4.533571741,0.421397691,1.345577209,1.171662472,2.547799487,0.337734408,2.337362409,1.923768284,0.949802376,2.279160789,1.691508755,5.249822397,1.43215942,0.711735758,2.353954316,1.29429872,1.665752042,0.517482796,2.575243255,1.130512048,2.034016942,6.112587447,1.367665972,2.823845666,1.443483916,0.961035584,4.020589944,0.231735515,3.335062838,0.197672267,3.104983821,1.685161108,0.713565349,1.194476543,2.718985458,5.741840888,CD4 T
a26,0.353051387,0.754782915,0.471608599,1.43424141,3.162118173,0.407502995,1.651108566,3.093836347,1.180341943,1.936926983,3.825249577,0.63107874,0.263565227,2.114331504,2.157013752,1.113469596,0.937674154,1.711147187,0.620200896,0.621150343,2.706578904,0.579994286,0.283997926,0.936041655,1.136140353,2.337181621,1.008170517,4.259873097,1.779256127,0.825815935,2.267270072,4.209940822,2.655317597,0.381859498,1.21848245,2.010989798,2.579054481,1.441171463,1.286016481,5.224516926,2.682661557,2.272327403,1.044809976,0.611619294,2.300882949,2.888075427,1.659452671,2.687660226,2.735512901,3.02074029,CD8 T
a27,0.374753096,1.246928262,2.400179161,1.731753565,2.741428252,2.27135344,0.145889757,3.522221748,1.121768855,0.782530362,3.443689661,2.596855462,3.771951618,2.02720181,1.23394246,1.858718377,0.659664027,0.45927767,0.979133518,4.534311408,1.06623146,0.291381426,1.473395697,1.054308489,3.56544118,4.323244469,1.187842102,2.025775204,2.151057307,1.604642464,1.38656457,0.735573055,0.238859019,0.731630502,1.561252678,0.408276052,1.948823003,1.757802266,1.055838237,1.339985131,0.48891664,2.98371991,2.948955287,0.580333348,0.596922151,0.740621247,2.484806469,2.146165915,3.417329769,3.678481116,NK
a28,0.368471126,2.42262099,3.580368247,1.271507672,1.636445497,1.451557365,1.502632761,2.976710899,5.099361926,4.161889393,1.098006419,2.030493833,0.845779971,0.924684278,1.581435477,0.902875321,1.024376009,1.995235035,2.398565098,2.35329781,2.369986292,0.52506418,0.86271269,1.716125528,3.471075238,6.959995817,2.09046792,2.782528561,0.467009589,2.730810787,5.789308456,0.859910544,1.053100897,3.04090841,1.699658303,0.213808767,1.107664398,4.311392714,1.331844374,1.330958267,2.909426307,2.145344055,1.274494498,0.994633348,9.108814529,3.845270486,2.369361273,2.477717637,1.509895525,2.126803548,CD8 T
a29,1.387251098,0.791430569,2.187521416,1.293784342,2.26995971,2.579274758,2.355946972,0.733966764,1.18382768,1.313996062,3.270504053,3.155799642,0.90818773,0.51270441,7.172514439,2.290428519,0.445773801,1.038701628,3.36357689,6.07802328,5.436801513,2.221952886,1.671028226,0.670492853,1.779753795,0.757403188,1.193376272,3.038717645,1.381751232,1.308949047,1.602689322,7.856043147,0.603835695,2.055853051,5.123988519,1.599024499,3.797880525,0.477793167,1.418113579,0.83248445,1.585994563,1.611990947,1.742701512,3.019452309,0.123352743,0.999708335,1.954583596,0.22828351,2.601552589,0.983593848,CD4 T
a30,1.439615072,3.113726984,3.913736974,2.657205702,0.587118345,2.565384634,2.686948093,2.329458134,4.34111718,1.777245578,4.231192799,4.214183754,2.73976433,2.07961144,2.338999903,4.965524528,3.468055086,0.65747257,2.234977941,0.794398628,0.958608649,1.232642352,0.430962184,0.747972743,4.498068772,0.953487688,3.031159826,1.898498793,2.487798132,2.562690118,0.717673702,3.018959898,0.528141938,0.919263706,2.536634444,0.674257667,0.200011934,2.160041,0.352794013,2.706167783,1.306347549,2.137725142,2.109047049,2.847021066,2.58899101,0.668533878,1.371001388,2.13589978,4.281622859,2.605651977,CD4 T
a31,4.038332115,2.217568281,3.509115563,2.009685491,3.412687022,1.252911826,4.609409396,2.398859696,0.434251097,2.187780848,2.611635323,3.090608534,5.676470595,1.095299217,5.701141626,1.671442313,0.880141738,1.11536765,2.504070716,0.769317433,1.270364866,2.148838978,4.585913303,3.030103452,1.723477402,2.496049745,1.99802722,0.578577461,5.115409338,4.633887723,1.573011917,1.148932258,0.591682963,2.606767249,2.618645847,0.829013111,2.015331301,2.96588565,1.084907374,1.425678211,1.41477904,0.876693064,1.448710094,0.36026732,1.357333718,1.37393108,1.588194273,2.365406081,0.545933196,0.650883654,CD4 T
a32,0.857140166,0.490893986,2.558910465,1.045641113,1.626407455,0.793772769,1.244163546,2.086399652,2.160271166,0.677440487,1.564763256,0.805937658,1.520421604,0.973444538,5.328466176,2.954161801,2.22850088,1.331932797,3.013177357,1.599924092,4.976620843,3.221444085,1.236871533,4.608075157,1.337377082,5.531539429,4.770340066,2.078188716,0.37534114,1.96247884,0.613508287,0.998629861,1.063051213,0.608508797,1.967905004,0.901024435,1.386423073,1.070634315,2.372644518,2.251786921,1.300032989,2.456844697,3.80999137,0.16342721,1.0201221,0.726426467,0.944667129,0.12533362,0.154356438,1.101180907,CD8 T
a33,1.075414848,4.178267976,1.855760905,2.412717963,13.61023268,5.031947059,1.608598361,1.17678161,1.033943754,2.129279008,1.185033023,0.592036439,1.066678545,2.173579292,2.717535277,5.373565643,1.796504121,3.961821833,1.427737483,1.585165873,1.521073635,1.959511425,3.059386941,1.145027752,0.762071798,3.229165155,3.072745832,4.382424094,1.002207635,1.387537817,3.312679204,1.134050615,2.637798164,1.432627015,2.121003094,0.580698848,1.779109559,3.758727322,2.885228311,0.71725526,5.093322133,3.604639333,0.60756575,1.072785424,0.640924331,2.164425172,1.033456989,0.216254005,1.57962143,3.141807843,CD4 T
a34,1.80695611,2.471357473,1.938157755,2.80243324,2.067884923,1.513216268,1.790139371,4.49084072,2.571109539,0.715048456,1.768708007,2.136381822,1.474155851,0.217728899,0.784396336,1.187697516,5.484424726,2.376174534,0.360878804,1.548681893,4.031031371,1.021070187,3.398738495,0.374050689,0.032348075,3.746013979,1.137383649,1.213722135,1.924788034,2.316472033,0.076161858,0.953119533,1.743980569,2.312701729,0.707136255,1.413909027,1.018342273,1.973209846,3.655515445,1.269162019,0.448966809,0.908307325,5.059612672,0.787221829,0.546578396,1.206255564,1.54898842,1.072444372,0.376380145,2.117269967,B
a35,1.974723967,2.730459363,1.941755288,4.785706063,2.881038998,2.48744214,3.746611902,1.854516774,1.438069564,2.099761415,0.203653401,1.858995325,1.547670961,2.269191231,3.405689291,2.539227875,0.910504192,3.03314232,4.831818343,3.466093115,0.492596235,2.520209683,0.571736988,1.327207274,2.220959319,2.012853594,3.420225596,4.847390278,2.384641581,1.245864428,0.217214602,4.01362364,1.554099729,1.618632169,1.720589123,2.306491109,2.355686523,1.344470746,1.541981786,1.003274881,0.909871668,0.905955403,1.527841683,0.756414724,0.025860485,1.228093266,0.525205126,1.81194004,0.999889147,2.327237851,CD8 T
a36,0.576444777,0.273797068,1.54501221,1.185266985,0.478981428,2.882661549,0.678743044,0.871775196,3.269483791,2.424896753,0.609295875,1.275055048,0.549876272,3.107135098,3.105680761,5.320242166,6.688347149,0.989695494,2.766479557,0.22602779,1.917339414,2.278457303,0.714756275,0.936542231,3.120257361,2.319699823,4.878540826,4.507972706,0.312343774,1.077150707,0.645315137,2.848324568,2.060481304,0.688967906,0.79501556,3.856415051,1.183269979,0.180815777,0.63121474,5.552484584,3.334919918,0.514814754,1.916680312,3.194409199,0.307307856,3.441160658,2.303774753,0.888032954,2.573056296,2.081980834,CD4 T
a37,2.187735263,1.865252616,0.768350925,0.905915077,1.377778975,1.726764169,2.681761931,5.638738272,1.983673487,2.648349001,3.08316319,2.781752581,0.741545355,4.100386497,3.679813425,1.846124036,0.783367229,1.705738547,0.354313735,4.458485388,0.980519222,1.321779953,4.25061607,3.918506559,2.142247761,4.902802552,0.719767277,2.143055814,0.725373728,3.53002725,3.446694994,5.13100032,1.66626175,6.070698483,0.669885502,1.59803989,0.692965811,1.932910256,0.750767005,3.536537878,2.358444939,0.616922147,2.993283111,4.676953883,2.523069632,0.452124031,1.481650557,2.754491945,1.372587851,0.661755664,CD4 T
a38,3.812277099,1.325826045,4.678862727,1.082033193,1.264159243,1.011589767,1.461851665,2.330891054,0.69482463,0.577100384,0.29953471,0.257829295,0.457761062,1.075769812,1.906833884,2.238990412,1.841661713,4.329165566,5.257728471,1.330902514,0.705821161,6.315382973,3.724538969,3.540852412,1.039480343,3.044858397,1.852715948,1.572980493,1.570878791,2.408294105,4.42298765,6.655141892,1.197206959,1.931984503,1.542287146,2.29524403,1.395635266,0.938355352,1.198575788,1.052570403,1.483971975,0.492891982,1.069717393,2.279091526,2.26696503,2.014457541,4.169207592,2.344442271,4.078739336,6.658342936,CD8 T
a39,3.09803011,0.495370403,2.073841044,1.855380314,4.673841512,1.526814352,0.828485838,1.122951016,0.514689286,5.970174021,1.691080199,0.565515227,4.954214239,5.511892347,1.903357254,0.468049842,1.146024968,1.400023016,1.735046499,0.638165125,3.274550339,0.158368765,3.643577589,4.173532559,1.24237867,1.585170887,4.525429644,2.680893995,1.279132616,1.406004058,2.418059646,5.621115422,1.441225537,1.247307136,1.725733284,1.733640466,2.119362334,1.589144859,3.791741452,0.771664319,2.293318455,2.358872816,0.836131981,2.276786525,2.403603682,0.075349033,0.705000972,4.778692337,1.02276346,0.5641186,CD4 T
a40,0.244024296,0.644513635,1.536671792,0.524233616,2.70581862,0.822476491,2.131320381,4.329345821,4.150120118,2.104483269,0.604089495,1.620842548,2.155532261,7.46621818,0.241025781,1.625338958,2.637908868,1.830662844,1.98561818,0.868152318,3.235359397,1.734254275,1.980237415,3.473897164,1.311362093,3.998985895,0.505935848,2.065250856,0.820081772,0.634340323,5.57829339,0.533940555,1.760357606,0.492386565,3.833795897,1.205684355,3.461402106,2.574562731,6.760284197,0.393399182,0.699404078,3.334283161,2.139382088,1.389906869,5.96062859,1.667548338,0.848997769,3.490072624,1.710982951,1.814622328,NK
a41,2.730697988,2.806351572,0.69045159,1.326080488,0.448328609,2.16285034,5.513263172,0.718008922,0.36297883,0.975975015,1.380214386,2.823834178,1.266077454,2.191515814,1.103923506,1.441907032,0.823606881,0.602472409,2.89541475,1.169743452,2.309332663,0.811839501,1.675951215,0.163578067,1.243728453,0.892349472,3.729366125,0.513079108,1.48980909,2.143261054,3.380250941,3.065508559,1.584541143,1.762528037,3.727096887,1.560906644,1.908168187,3.810516258,7.374098533,2.032391309,2.454407345,3.002289992,3.785878916,3.438314105,1.03214828,2.133992656,3.45466624,4.333287612,1.491932274,2.096169838,B
a42,2.276266702,1.718113038,2.056406725,10.33793154,1.443220127,1.533120877,0.320271133,0.260635993,2.393941415,3.464328454,3.037875897,0.809809081,2.914677247,1.5140054,1.232563523,0.461809758,0.903801594,2.43427744,2.117399184,1.89318182,0.139935093,1.907860123,1.018903468,2.128668087,3.86370033,1.152396167,1.80380295,5.937302669,2.050989593,1.638069762,0.821983179,2.971455047,0.697967093,3.979406645,2.680496274,1.049906544,0.847228164,0.865698175,0.266414085,2.352550641,0.166587608,1.55800221,1.480038421,1.279480142,2.340918163,1.052155512,1.911515862,3.978876477,2.54371152,1.188925382,CD8 T
a43,1.676860655,1.280655061,1.463385526,1.95574625,0.439944421,0.336779164,0.75935747,2.421560442,2.66329515,2.947826227,0.787436276,1.795965145,1.219691985,1.511981894,1.201870926,2.039058186,0.942603486,3.683139943,3.705467241,2.367797999,3.393984076,0.421904922,3.82945519,2.206590386,0.992725302,0.908007616,4.725773605,2.980860529,1.480491394,0.416669182,3.962261686,0.606997182,1.2379312,1.478871336,0.895832786,1.426930601,1.657588163,1.403524176,2.114139138,4.8426837,0.439052876,1.878744679,0.613464663,0.394642695,3.218573446,2.000479855,0.367719682,1.425894524,0.761246857,1.466004657,CD8 T
