element_name,element
cleaning,cleaning
clear,clear
climate,climate
close,close
closely,closely
closets,closets
clothes,clothes
clothing,clothing
club,club
clubs,clubs
coalition,coalition
collaborate,collaborate
collaborating,collaborating
collaboration,collaboration
collect,collect
collected,collected
collection,collection
collective,collective
college,college
come,come
commitment,commitment
committee,committee
common,common
communications,communications
communities,communities
community,community
commuting,commuting
compensate,compensate
compete,compete
competition,competition
competitions,competitions
components,components
comporting,comporting
compost,compost
compostable,compostable
composters,composters
composting,composting
comprehensive,comprehensive
concerts,concerts
conduct,conduct
conect,conect
conferences,conferences
connect,connect
connection,connection
connections,connections
connects,connects
conservation,conservation
conservationists,conservationists
conserve,conserve
consider,consider
consistently,consistently
construction,construction
constructions,constructions
consume,consume
consumers,consumers
consumption,consumption
container,container
containers,containers
contribute,contribute
contributing,contributing
contributions,contributions
conversations,conversations
cooking,cooking
corps,corps
correctly,correctly
corridors,corridors
costs,costs
could,could
courses,courses
cover,cover
create,create
creating,creating
creation,creation
creativity,creativity
credits,credits
criteria,criteria
critical,critical
critically,critically
culminating,culminating
culture,culture
curate,curate
currently,currently
curriculum,curriculum
curriculums,curriculums
cuttings,cuttings
cycling,cycling
daily,daily
dashboard,dashboard
data,data
day,day
decision,decision
decisions,decisions
decrease,decrease
dedicated,dedicated
demonstrate,demonstrate
demonstrations,demonstrations
demos,demos
demostration,demostration
departmental,departmental
departments,departments
design,design
designate,designate
designated,designated
designed,designed
designers,designers
designing,designing
designs,designs
develop,develop
developing,developing
development,development
devices,devices
difference,difference
different,different
digital,digital
dining,dining
dinners,dinners
disciplines,disciplines
discounted,discounted
discounts,discounts
discourage,discourage
discuss,discuss
discussing,discussing
discussion,discussion
discussions,discussions
dishwashing,dishwashing
displayed,displayed
disposal,disposal
dispose,dispose
distribute,distribute
divert,divert
divest,divest
diy,diy
do,do
documentaries,documentaries
documentary,documentary
dollars,dollars
donate,donate
donation,donation
donations,donations
dorm,dorm
dorms,dorms
drinks,drinks
drive,drive
driven,driven
drives,drives
driving,driving
drop,drop
dues,dues
during,during
e,e
each,each
earn,earn
earned,earned
earth,earth
eat,eat
eating,eating
eco,eco
ecology,ecology
economy,economy
ecosyste,ecosyste
ecosystems,ecosystems
edible,edible
educate,educate
educated,educated
educating,educating
education,education
educational,educational
educators,educators
effective,effective
effectiveness,effectiveness
effects,effects
efficiency,efficiency
efficient,efficient
efforts,efforts
electric,electric
electricity,electricity
electronic,electronic
electronics,electronics
elements,elements
eliminate,eliminate
elsewhere,elsewhere
emission,emission
emissions,emissions
emphasizes,emphasizes
employees,employees
empowering,empowering
encourage,encourage
encourages,encourages
encouraging,encouraging
energy,energy
engage,engage
engaged,engaged
engagement,engagement
engages,engages
enhance,enhance
enhancement,enhancement
enhancements,enhancements
enhancing,enhancing
enough,enough
ensure,ensure
ensuring,ensuring
environemental,environemental
environment,environment
environmental,environmental
environmentally,environmentally
equipped,equipped
equipping,equipping
especially,especially
establish,establish
establishing,establishing
establishment,establishment
etc,etc
ethical,ethical
evaluate,evaluate
event,event
events,events
everyday,everyday
excess,excess
exchange,exchange
existing,existing
expand,expand
expansions,expansions
experienced,experienced
experiences,experiences
experts,experts
expiration,expiration
exploration,exploration
explore,explore
explores,explores
exploring,exploring
expo,expo
extend,extend
extensive,extensive
external,external
facilities,facilities
faculty,faculty
fair,fair
farm,farm
farmers,farmers
farming,farming
farms,farms
fashion,fashion
fast,fast
faucets,faucets
feasibility,feasibility
featuring,featuring
fees,fees
felxible,felxible
festival,festival
festivals,festivals
film,film
films,films
financial,financial
fix,fix
fixed,fixed
fixtures,fixtures
flex,flex
flexible,flexible
flora,flora
flow,flow
flyers,flyers
focus,focus
focused,focused
focuses,focuses
focusing,focusing
follow,follow
followed,followed
following,following
food,food
foods,foods
footprint,footprint
footprints,footprints
forestry,forestry
form,form
formation,formation
fossil,fossil
foster,foster
fostering,fostering
free,free
frequent,frequent
fresh,fresh
friendly,friendly
from,from
fruit,fruit
fruits,fruits
fuels,fuels
fun,fun
fund,fund
funding,funding
fundraiser,fundraiser
funds,funds
furniture,furniture
further,further
future,future
garage,garage
garden,garden
gardening,gardening
gardens,gardens
gases,gases
generate,generate
generated,generated
generation,generation
generations,generations
gently,gently
gift,gift
given,given
global,global
goal,goal
goals,goals
goods,goods
government,government
grander,grander
grant,grant
grants,grants
grassroots,grassroots
green,green
greenhouse,greenhouse
grounds,grounds
group,group
groups,groups
grow,grow
growing,growing
grown,grown
guest,guest
guidance,guidance
guide,guide
guided,guided
guidelines,guidelines
guides,guides
habitat,habitat
habitats,habitats
habits,habits
hackathons,hackathons
hall,hall
halls,halls
hand,hand
hands,hands
happening,happening
harness,harness
harvesting,harvesting
have,have
having,having
health,health
healthier,healthier
healthy,healthy
heat,heat
heavy,heavy
herbs,herbs
highlight,highlight
hold,hold
home,home
homes,homes
host,host
hosting,hosting
hotels,hotels
household,household
households,households
how,how
hvac,hvac
hydration,hydration
idea,idea
ideas,ideas
ideation,ideation
identify,identify
ie,ie
if,if
imformation,imformation
impact,impact
impactful,impactful
impacts,impacts
implement,implement
implementation,implementation
implemented,implemented
implementing,implementing
importance,importance
improve,improve
improved,improved
improvement,improvement
improvements,improvements
improving,improving
incentive,incentive
incentives,incentives
incentivized,incentivized
include,include
includes,includes
including,including
incorporate,incorporate
incorporating,incorporating
increase,increase
increasing,increasing
individual,individual
individuals,individuals
industries,industries
industry,industry
industry’s,industry’s
information,information
informational,informational
informative,informative
informed,informed
infosession,infosession
infrastructure,infrastructure
ingredients,ingredients
initial,initial
initiate,initiate
initiative,initiative
initiatives,initiatives
innovation,innovation
innovations,innovations
innovative,innovative
innovators,innovators
insights,insights
inspiration,inspiration
inspire,inspire
inspired,inspired
inspiring,inspiring
install,install
installation,installation
installations,installations
installing,installing
installs,installs
instead,instead
insulation,insulation
integrate,integrate
integration,integration
inter,inter
interactive,interactive
interested,interested
internships,internships
intersection,intersection
into,into
introduce,introduce
introduction,introduction
invest,invest
investing,investing
investment,investment
investments,investments
invite,invite
inviting,inviting
involvement,involvement
involving,involving
irrigate,irrigate
irrigation,irrigation
issues,issues
items,items
its,its
join,join
joint,joint
justice,justice
keep,keep
keeping,keeping
kids,kids
kinda,kinda
kitchens,kitchens
kits,kits
knowledge,knowledge
lab,lab
landfill,landfill
landfills,landfills
landscaping,landscaping
lanes,lanes
latest,latest
launch,launch
laundry,laundry
lead,lead
leadership,leadership
leading,leading
learn,learn
learning,learning
least,least
lecture,lecture
lectures,lectures
led,led
leed,leed
less,less
letter,letter
leveraging,leveraging
library,library
life,life
lifecycle,lifecycle
lifestyle,lifestyle
lifestyles,lifestyles
lighting,lighting
lights,lights
like,like
line,line
literacy,literacy
literature,literature
litter,litter
little,little
lives,lives
living,living
local,local
locally,locally
locals,locals
locations,locations
loco,loco
log,log
long,long
lots,lots
low,low
lower,lower
machine,machine
made,made
maintain,maintain
maintaining,maintaining
maintenance,maintenance
make,make
makers,makers
making,making
manage,manage
management,management
market,market
marketplace,marketplace
markets,markets
materials,materials
maybe,maybe
meal,meal
meals,meals
meaningful,meaningful
measures,measures
meatless,meatless
media,media
meet,meet
meetings,meetings
members,members
membership,membership
memberships,memberships
mentorship,mentorship
merchandise,merchandise
methods,methods
miles,miles
mindful,mindful
minimal,minimal
minimize,minimize
minimizing,minimizing
mobile,mobile
mobilize,mobilize
mode,mode
models,models
modes,modes
monday,monday
mondays,mondays
monitor,monitor
monitoring,monitoring
month,month
more,more
most,most
motivation,motivation
movie,movie
multi,multi
multiple,multiple
municipal,municipal
must,must
nad,nad
native,native
natural,natural
nature,nature
near,near
nearby,nearby
necessary,necessary
need,need
needing,needing
needs,needs
neighborhood,neighborhood
neighborhoods,neighborhoods
network,network
networking,networking
new,new
newer,newer
nights,nights
no,no
not,not
number,number
nutrient,nutrient
off,off
offer,offer
offering,offering
offers,offers
offices,offices
offset,offset
offsets,offsets
old,old
ongoing,ongoing
online,online
only,only
operations,operations
opportunities,opportunities
opportunity,opportunity
oppurtunities,oppurtunities
optimize,optimize
option,option
options,options
org,org
organic,organic
organizations,organizations
organization’s,organization’s
organize,organize
organized,organized
organizers,organizers
organizing,organizing
orgs,orgs
other,other
our,our
out,out
outdoor,outdoor
outfits,outfits
outreach,outreach
outside,outside
over,over
overall,overall
own,own
packaging,packaging
panel,panel
panelists,panelists
panels,panels
paper,paper
paperless,paperless
park,park
parking,parking
parks,parks
participants,participants
participat,participat
participate,participate
participating,participating
participation,participation
particular,particular
partner,partner
partnering,partnering
partnerships,partnerships
party,party
passes,passes
path,path
paths,paths
pathways,pathways
paulson,paulson
peak,peak
pedestrian,pedestrian
peer,peer
peers,peers
people,people
percentage,percentage
permaculture,permaculture
permits,permits
personal,personal
petitions,petitions
physical,physical
pick,pick
picking,picking
placed,placed
places,places
plan,plan
planners,planners
planning,planning
plant,plant
planting,planting
plants,plants
plastic,plastic
plastics,plastics
plates,plates
platform,platform
platforms,platforms
play,play
podcast,podcast
points,points
policies,policies
policy,policy
politicians,politicians
pollinator,pollinator
pollinators,pollinators
posters,posters
posts,posts
powered,powered
practical,practical
practices,practices
prepared,prepared
presentation,presentation
presentations,presentations
preserving,preserving
primary,primary
principles,principles
prioritize,prioritize
prioritizes,prioritizes
priority,priority
prize,prize
prizes,prizes
probably,probably
processes,processes
procuement,procuement
procurement,procurement
produce,produce
product,product
production,production
products,products
professors,professors
program,program
programs,programs
progress,progress
project,project
projects,projects
promote,promote
promotes,promotes
promoting,promoting
promotional,promotional
proper,proper
properly,properly
propose,propose
protect,protect
provide,provide
provides,provides
providing,providing
public,public
purchase,purchase
purchasing,purchasing
purposes,purposes
q,q
quality,quality
racks,racks
rain,rain
rainwater,rainwater
raise,raise
raising,raising
rallies,rallies
rates,rates
reaching,reaching
real,real
recognition,recognition
recognize,recognize
recreational,recreational
recyclable,recyclable
recycle,recycle
recycled,recycled
recycling,recycling
recylcing,recylcing
redeemed,redeemed
reduce,reduce
reduced,reduced
reducing,reducing
reduction,reduction
refill,refill
regenerative,regenerative
regular,regular
regularly,regularly
related,related
reliance,reliance
renewable,renewable
renovate,renovate
renovating,renovating
renovation,renovation
repair,repair
repairing,repairing
replace,replace
res,res
research,research
reserved,reserved
residents,residents
resistant,resistant
resources,resources
responsible,responsible
restoration,restoration
restore,restore
retrofit,retrofit
retrofitting,retrofitting
reusable,reusable
reuse,reuse
reuses,reuses
reusing,reusing
revamp,revamp
reward,reward
rewards,rewards
rich,rich
rides,rides
roof,roof
roofs,roofs
rooftop,rooftop
rooftops,rooftops
rooms,rooms
run,run
runoff,runoff
s,s
safely,safely
safety,safety
sale,sale
sales,sales
saving,saving
scale,scale
scarcity,scarcity
schedules,schedules
scholarships,scholarships
school,school
schools,schools
science,science
scientists,scientists
scraps,scraps
screen,screen
screening,screening
screenings,screenings
seasonal,seasonal
seasonally,seasonally
second,second
secure,secure
select,select
selling,selling
semester,semester
seminars,seminars
sense,sense
sent,sent
sequestration,sequestration
series,series
serve,serve
served,served
serves,serves
service,service
services,services
servies,servies
session,session
sessions,sessions
set,set
setting,setting
shade,shade
share,share
shared,shared
sharing,sharing
shopping,shopping
shops,shops
show,show
showcase,showcase
showcases,showcases
showcasing,showcasing
showerheads,showerheads
shows,shows
shuttle,shuttle
signage,signage
significantly,significantly
similar,similar
simple,simple
single,single
skills,skills
small,small
smart,smart
social,social
society,society
soil,soil
solar,solar
solution,solution
solutions,solutions
some,some
sort,sort
source,source
sourced,sourced
sources,sources
sourcing,sourcing
space,space
spaces,spaces
spam,spam
speak,speak
speaker,speaker
speakers,speakers
special,special
specialized,specialized
species,species
specific,specific
specifically,specifically
spots,spots
sprinklers,sprinklers
staff,staff
standards,standards
start,start
starter,starter
startup,startup
startups,startups
stations,stations
steps,steps
stewardship,stewardship
storage,storage
stores,stores
stories,stories
stormwater,stormwater
strategically,strategically
strategies,strategies
strengthen,strengthen
strikes,strikes
structures,structures
student,student
students,students
subsidized,subsidized
subsidy,subsidy
success,success
successfully,successfully
such,such
suppliers,suppliers
supplies,supplies
supply,supply
support,support
supported,supported
supporting,supporting
sure,sure
surrounding,surrounding
surroundings,surroundings
sus,sus
sust,sust
sustainability,sustainability
sustainable,sustainable
sustainably,sustainably
swap,swap
swapping,swapping
swaps,swaps
swipe,swipe
swiping,swiping
switch,switch
system,system
systems,systems
table,table
tables,tables
take,take
talk,talk
talks,talks
tapping,tapping
target,target
tasks,tasks
taught,taught
teach,teach
teaching,teaching
team,team
tech,tech
techniques,techniques
technologies,technologies
technology,technology
term,term
testimonials,testimonials
textile,textile
their,their
them,them
themed,themed
themes,themes
thermostats,thermostats
these,these
they,they
think,think
this,this
those,those
thrift,thrift
thrifted,thrifted
thrifting,thrifting
through,through
throughout,throughout
throwing,throwing
tickets,tickets
time,time
times,times
tiny,tiny
tips,tips
together,together
toilets,toilets
topics,topics
trach,trach
track,track
tracked,tracked
tracking,tracking
traffic,traffic
trails,trails
train,train
training,training
trainings,trainings
transit,transit
transition,transition
transport,transport
transportation,transportation
trash,trash
trayless,trayless
treasurer,treasurer
tree,tree
trees,trees
trips,trips
turbines,turbines
turn,turn
turning,turning
types,types
unavoidable,unavoidable
understanding,understanding
unsustainable,unsustainable
up,up
upcycle,upcycle
upcycled,upcycled
upcycling,upcycling
upgrade,upgrade
upgrades,upgrades
urban,urban
usage,usage
use,use
used,used
users,users
using,using
utensils,utensils
utility,utility
utilizing,utilizing
various,various
vegan,vegan
vegetables,vegetables
vegetarian,vegetarian
vehicle,vehicle
vehicles,vehicles
vendors,vendors
vertical,vertical
volunteer,volunteer
vouchers,vouchers
w,w
walk,walk
walking,walking
walks,walks
walls,walls
waste,waste
wasteful,wasteful
water,water
ways,ways
wc,wc
website,website
weekly,weekly
wellesley,wellesley
wellness,wellness
wells,wells
what,what
when,when
where,where
which,which
while,while
who,who
wide,wide
wildlife,wildlife
will,will
wind,wind
winners,winners
wins,wins
within,within
work,work
workers,workers
works,works
workshops,workshops
world,world
would,would
writing,writing
xeriscaping,xeriscaping
year,year
your,your
zero,zero
1,1
100000,100000
15,15
2,2
60k,60k
absteact,absteact
accept,accept
accurate,accurate
active,active
addressing,addressing
adjust,adjust
adjusting,adjusting
advocating,advocating
affinity,affinity
airport,airport
allows,allows
alt,alt
amazon,amazon
analogous,analogous
analysis,analysis
approaches,approaches
appropriate,appropriate
arts,arts
assemble,assemble
assess,assess
assessing,assessing
assigning,assigning
assistance,assistance
association,association
automatic,automatic
b,b
bad,bad
bathroom,bathroom
behavioral,behavioral
being,being
biological,biological
bit,bit
bow,bow
boxes,boxes
brand,brand
buckets,buckets
business,business
campuses,campuses
cans,cans
car,car
cardboard,cardboard
care,care
case,case
cleanup,cleanup
clg,clg
coffee,coffee
collab,collab
collaborations,collaborations
comparison,comparison
competiton,competiton
comportable,comportable
concret,concret
conducting,conducting
cons,cons
consequences,consequences
conserving,conserving
constraints,constraints
consuming,consuming
contamination,contamination
control,control
convenient,convenient
coops,coops
corporate,corporate
cost,cost
cross,cross
cup,cup
curbside,curbside
current,current
customization,customization
cycled,cycled
d,d
definition,definition
derease,derease
dhalls,dhalls
directions,directions
donating,donating
donattion,donattion
dryers,dryers
economic,economic
economics,economics
eliminating,eliminating
emotional,emotional
engaging,engaging
enhanced,enhanced
es,es
evaluating,evaluating
evaluation,evaluation
evidence,evidence
evironmental,evironmental
examples,examples
execution,execution
expensive,expensive
extremely,extremely
factors,factors
fauna,fauna
field,field
findings,findings
fundraisers,fundraisers
garbage,garbage
give,give
govn,govn
groundwater,groundwater
growth,growth
harvest,harvest
heads,heads
heating,heating
help,help
high,high
higher,higher
hiring,hiring
hours,hours
howto,howto
humanities,humanities
image,image
implications,implications
increased,increased
ind,ind
info,info
initiating,initiating
integrating,integrating
interdisciplinary,interdisciplinary
intermittency,intermittency
key,key
lack,lack
lake,lake
leaky,leaky
leftovers,leftovers
lessons,lessons
lids,lids
light,light
limitations,limitations
limited,limited
logistics,logistics
makerspace,makerspace
med,med
menu,menu
mgmt,mgmt
mind,mind
money,money
mosr,mosr
mugs,mugs
multiuse,multiuse
n,n
needed,needed
non,non
oncampus,oncampus
open,open
outcomes,outcomes
overeating,overeating
overview,overview
packages,packages
papers,papers
performance,performance
petitioning,petitioning
plans,plans
plasric,plasric
platforming,platforming
pollution,pollution
pooling,pooling
portion,portion
positive,positive
potential,potential
ppl,ppl
pr,pr
preparation,preparation
preservation,preservation
prevention,prevention
prizws,prizws
professionals,professionals
projecrs,projecrs
pros,pros
protecting,protecting
radiator,radiator
recharge,recharge
recommendations,recommendations
recruitment,recruitment
recyclability,recyclability
reduces,reduces
reductiom,reductiom
relevance,relevance
removal,removal
renovations,renovations
repurposing,repurposing
requiring,requiring
resemblance,resemblance
resistance,resistance
resource,resource
responsibility,responsibility
ride,ride
role,role
rrr,rrr
savings,savings
schedule,schedule
schoolwide,schoolwide
sci,sci
sculpture,sculpture
securing,securing
self,self
serving,serving
shortage,shortage
shower,shower
similarity,similarity
sinks,sinks
skill,skill
snow,snow
spending,spending
sponsorships,sponsorships
stakeholder,stakeholder
stakeholders,stakeholders
stllabus,stllabus
stone,stone
study,study
subjects,subjects
submit,submit
successful,successful
suited,suited
surface,surface
sustanibility,sustanibility
sustaunability,sustaunability
sustenability,sustenability
teamwork,teamwork
temperature,temperature
terms,terms
things,things
thinking,thinking
thjngs,thjngs
timed,timed
towards,towards
towels,towels
treatments,treatments
triage,triage
unforeseen,unforeseen
uniformity,uniformity
uses,uses
value,value
variety,variety
veg,veg
viability,viability
waban,waban
we,we
yearlong,yearlong
